City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snowfall (inches)
0,Atuona,PF,-9.8,-139.03,79.74,79,61,18.59,broken clouds,0.0,0
1,Upernavik,GL,72.79,-56.15,41.61,85,100,15.82,overcast clouds,0.0,0
2,The Valley,AI,18.22,-63.06,82.99,74,20,9.17,few clouds,0.0,0
3,Fairbanks,US,64.84,-147.72,69.8,28,1,5.82,clear sky,0.0,0
4,Tuatapere,NZ,-46.13,167.68,51.35,71,15,7.92,few clouds,0.0,0
5,Goderich,CA,43.75,-81.72,75.99,84,100,8.55,light rain,0.38,0
6,Mar Del Plata,AR,-38.0,-57.56,43.0,81,20,12.75,few clouds,0.0,0
7,Mataura,NZ,-46.19,168.86,48.7,82,80,7.63,broken clouds,0.0,0
8,Petauke,ZM,-14.24,31.33,62.17,79,0,4.41,clear sky,0.0,0
9,Quatre Cocos,MU,-20.21,57.76,69.8,68,75,16.11,broken clouds,0.0,0
10,Gizo,SB,-8.1,156.84,83.75,74,100,9.73,overcast clouds,0.0,0
11,Bluff,NZ,-46.6,168.33,49.33,77,66,18.79,broken clouds,0.0,0
12,Codrington,AU,-38.27,141.97,52.7,78,100,3.71,overcast clouds,0.0,0
13,Port Elizabeth,ZA,-33.92,25.57,59.0,54,96,6.93,overcast clouds,0.0,0
14,Touros,BR,-5.2,-35.46,73.4,100,20,2.24,few clouds,0.0,0
15,Sistranda,NO,63.73,8.83,50.0,87,75,8.05,broken clouds,0.0,0
16,Ballachulish,GB,56.68,-5.13,48.99,92,51,3.78,broken clouds,0.0,0
17,Iqaluit,CA,63.75,-68.51,44.6,87,75,9.17,broken clouds,0.0,0
18,Japura,ID,-0.32,102.35,75.88,88,3,2.26,clear sky,0.0,0
19,Pevek,RU,69.7,170.31,51.46,77,100,7.58,overcast clouds,0.0,0
20,Ous,RU,60.91,61.52,70.7,79,34,7.58,scattered clouds,0.0,0
21,Hobart,AU,-42.88,147.33,46.0,87,100,9.17,overcast clouds,0.0,0
22,Zhuanghe,CN,39.7,122.99,77.72,65,0,8.97,clear sky,0.0,0
23,Lagoa,PT,39.05,-27.98,68.31,79,0,10.16,clear sky,0.0,0
24,Lompoc,US,34.64,-120.46,73.99,60,0,13.87,clear sky,0.0,0
25,Dharchula,IN,29.85,80.53,70.59,71,50,0.89,scattered clouds,0.0,0
26,Beloha,MG,-25.17,45.05,63.59,73,0,6.24,clear sky,0.0,0
27,Usinsk,RU,65.99,57.53,60.4,94,100,17.67,moderate rain,1.52,0
28,Kodiak,US,57.79,-152.41,66.2,55,20,9.17,few clouds,0.0,0
29,Punta Arenas,CL,-53.15,-70.92,32.0,90,66,10.29,broken clouds,0.0,0
30,Cape Town,ZA,-33.93,18.42,53.01,81,40,5.82,light rain,0.51,0
31,Khatanga,RU,71.97,102.5,48.85,90,100,20.83,light rain,0.91,0
32,Emerald,AU,-23.53,148.17,68.0,77,40,8.05,scattered clouds,0.0,0
33,Maltahohe,NA,-24.83,16.98,38.64,80,0,23.22,clear sky,0.0,0
34,Ushuaia,AR,-54.8,-68.3,33.8,74,20,4.7,few clouds,0.0,0
35,Ribeira Grande,PT,38.52,-28.7,68.81,76,9,9.33,clear sky,0.0,0
36,La Fria,VE,8.22,-72.24,86.0,42,75,11.41,broken clouds,0.0,0
37,Mount Gambier,AU,-37.83,140.77,48.2,100,90,6.93,light rain,0.0,0
38,Mayen,DE,50.33,7.22,52.0,87,0,2.24,clear sky,0.0,0
39,Ahipara,NZ,-35.17,173.17,58.69,66,50,6.15,scattered clouds,0.0,0
40,Sanbu,CN,33.46,119.15,75.34,84,100,10.92,overcast clouds,0.0,0
41,Katsuura,JP,35.13,140.3,84.0,94,75,17.22,light intensity shower rain,0.0,0
42,Paciran,ID,-6.88,112.38,78.24,80,77,6.85,broken clouds,0.0,0
43,Albany,US,42.6,-73.97,79.0,96,100,5.86,moderate rain,2.36,0
44,Tessalit,ML,20.2,1.01,85.44,40,81,4.56,broken clouds,0.0,0
45,Suba,PH,10.84,121.01,84.72,66,100,3.27,overcast clouds,0.0,0
46,Kapaa,US,22.08,-159.32,84.2,70,90,16.11,overcast clouds,0.0,0
47,Saint-Philippe,RE,-21.36,55.77,64.4,72,44,8.05,light rain,0.13,0
48,Zhigansk,RU,66.77,123.37,70.99,51,39,16.8,scattered clouds,0.0,0
49,La Tuque,CA,47.43,-72.78,74.82,77,21,5.84,few clouds,0.0,0
50,Luderitz,NA,-26.65,15.16,53.6,93,0,9.17,clear sky,0.0,0
51,Saint Anthony,US,45.02,-93.22,84.2,48,1,9.17,clear sky,0.0,0
52,Nikolskoye,RU,59.7,30.79,57.2,87,75,4.47,mist,0.0,0
53,Luhyny,UA,51.08,28.4,62.33,89,0,8.23,clear sky,0.0,0
54,Comendador,DO,18.88,-71.7,75.78,72,68,4.34,broken clouds,0.0,0
55,Nanortalik,GL,60.14,-45.24,44.67,94,87,2.28,overcast clouds,0.0,0
56,Raudeberg,NO,61.99,5.14,48.99,93,100,11.45,moderate rain,1.02,0
57,Saint George,US,37.1,-113.58,105.01,10,1,6.93,clear sky,0.0,0
58,Pisco,PE,-13.7,-76.22,62.6,72,10,10.29,clear sky,0.0,0
59,Lima,PE,-12.04,-77.03,60.8,77,90,6.93,overcast clouds,0.0,0
60,Vila Franca Do Campo,PT,37.72,-25.43,68.0,77,75,4.7,broken clouds,0.0,0
61,Talnakh,RU,69.49,88.4,55.4,82,0,8.95,clear sky,0.0,0
62,Ilulissat,GL,69.22,-51.1,42.8,81,100,9.17,overcast clouds,0.0,0
63,Hithadhoo,MV,-0.6,73.08,83.43,74,99,7.78,overcast clouds,0.0,0
64,Taoudenni,ML,22.68,-3.98,93.0,31,0,12.46,clear sky,0.0,0
65,Busselton,AU,-33.65,115.33,44.01,89,0,12.84,clear sky,0.0,0
66,Qaanaaq,GL,77.48,-69.36,43.84,67,100,7.67,overcast clouds,0.0,0
67,Port Alfred,ZA,-33.59,26.89,61.0,61,34,11.01,scattered clouds,0.0,0
68,Cockburn Town,TC,21.46,-71.14,84.2,74,75,12.75,broken clouds,0.0,0
69,Tasiilaq,GL,65.61,-37.64,39.2,86,0,4.7,clear sky,0.0,0
70,Carnarvon,AU,-24.87,113.63,57.2,44,0,11.41,clear sky,0.0,0
71,Naze,JP,28.37,129.48,84.2,89,75,11.41,broken clouds,0.0,0
72,Vannes,FR,47.83,-2.5,54.0,87,0,9.17,clear sky,0.0,0
73,Kaputa,ZM,-8.47,29.66,67.53,78,77,3.71,broken clouds,0.0,0
74,Waipawa,NZ,-41.41,175.52,55.4,66,0,17.22,clear sky,0.0,0
75,Hilo,US,19.73,-155.09,84.2,54,75,12.75,broken clouds,0.0,0
76,Flagstaff,US,35.2,-111.65,90.0,19,1,8.05,clear sky,0.0,0
77,Cururupu,BR,-1.83,-44.87,75.9,89,39,4.47,scattered clouds,0.0,0
78,Northam,GB,51.03,-4.22,54.0,88,0,1.99,clear sky,0.0,0
79,Rikitea,PF,-23.12,-134.97,67.32,70,72,18.41,broken clouds,0.0,0
80,Deputatskiy,RU,69.3,139.9,66.2,43,30,5.86,scattered clouds,0.0,0
81,Yulara,AU,-25.24,130.99,51.8,50,100,13.87,overcast clouds,0.0,0
82,Butaritari,KI,3.07,172.79,82.18,78,100,11.77,moderate rain,1.03,0
83,Victoria,HK,22.29,114.16,88.0,74,97,11.99,overcast clouds,0.0,0
84,Mitsamiouli,KM,-11.38,43.28,76.93,68,4,13.11,clear sky,0.0,0
85,Airai,TL,-8.93,125.41,68.5,77,41,4.97,scattered clouds,0.0,0
86,Laguna,US,38.42,-121.42,100.0,14,1,6.93,clear sky,0.0,0
87,Vardo,NO,70.37,31.11,49.28,85,28,5.91,scattered clouds,0.0,0
88,Avera,US,33.19,-82.53,86.0,74,1,6.13,clear sky,0.0,0
89,Asau,RO,46.43,26.4,63.0,83,0,3.53,clear sky,0.0,0
90,Jamestown,US,42.1,-79.24,75.2,73,75,13.87,thunderstorm,0.0,0
91,Hamilton,US,39.18,-84.53,82.4,54,75,10.29,broken clouds,0.0,0
92,Yeola,IN,20.03,74.48,75.65,82,100,9.6,overcast clouds,0.0,0
93,Lavumisa,SZ,-27.31,31.89,64.4,72,0,1.12,clear sky,0.0,0
94,Yerbogachen,RU,61.28,108.01,65.46,79,23,10.36,few clouds,0.0,0
95,Lewistown,US,40.6,-77.57,80.6,65,1,5.82,clear sky,0.0,0
96,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,75,12.75,broken clouds,0.0,0
97,Bredasdorp,ZA,-34.53,20.04,50.0,76,47,10.29,light rain,0.11,0
98,Esperance,AU,-33.87,121.9,44.6,100,90,4.7,overcast clouds,0.0,0
99,Puerto Ayora,EC,-0.74,-90.35,66.99,94,93,1.99,overcast clouds,0.0,0
100,Provideniya,RU,64.38,-173.3,59.77,58,100,6.82,overcast clouds,0.0,0
101,Sangar,RU,63.92,127.47,68.31,57,57,14.63,broken clouds,0.0,0
102,Caravelas,BR,-17.71,-39.25,71.49,81,0,5.5,clear sky,0.0,0
103,Roding,DE,49.2,12.52,64.0,88,100,3.0,overcast clouds,0.0,0
104,Sur,OM,22.57,59.53,87.73,59,99,5.08,overcast clouds,0.0,0
105,Ouadda,CF,8.08,22.4,68.79,92,100,1.83,light rain,0.18,0
106,Dikson,RU,73.51,80.55,44.51,77,42,13.94,scattered clouds,0.0,0
107,Padrauna,IN,26.9,83.98,78.8,100,90,1.12,overcast clouds,0.0,0
108,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,64.4,82,75,4.47,broken clouds,0.0,0
109,Karpogory,RU,64.0,44.45,52.59,80,0,4.29,clear sky,0.0,0
110,Port Macquarie,AU,-31.43,152.92,57.99,97,100,7.65,overcast clouds,0.0,0
111,Hermanus,ZA,-34.42,19.23,48.0,92,100,5.01,moderate rain,1.09,0
112,Nantucket,US,41.28,-70.1,71.01,94,90,17.22,overcast clouds,0.0,0
113,Pindiga,NG,9.98,10.93,70.09,96,89,10.67,light rain,0.24,0
114,Sussex,US,41.18,-74.67,73.4,94,90,10.29,mist,1.53,0
115,Kahului,US,20.89,-156.47,89.6,43,20,27.51,few clouds,0.0,0
116,Georgetown,MY,5.41,100.34,80.6,94,40,3.36,thunderstorm,0.0,0
117,Buraydah,SA,26.33,43.98,84.2,32,0,4.7,clear sky,0.0,0
118,Tuy Hoa,VN,13.08,109.3,84.79,68,95,7.83,overcast clouds,0.0,0
119,Arraial Do Cabo,BR,-22.97,-42.03,62.6,88,0,4.7,clear sky,0.0,0
120,Jinchang,CN,38.5,102.17,77.76,18,100,9.95,overcast clouds,0.0,0
121,Faya,SA,18.39,42.45,75.2,40,3,6.06,clear sky,0.0,0
122,Traverse City,US,44.76,-85.62,73.4,73,75,8.05,broken clouds,0.0,0
123,Ossora,RU,59.24,163.07,52.88,87,100,6.93,overcast clouds,0.0,0
124,Huntsville,US,34.73,-86.59,89.01,62,1,6.93,clear sky,0.0,0
125,Grand Gaube,MU,-20.01,57.66,66.99,80,93,10.0,light rain,0.51,0
126,Salalah,OM,17.02,54.09,80.6,100,90,8.05,light intensity drizzle,0.0,0
127,Barrow,US,71.29,-156.79,37.4,70,90,9.17,haze,0.0,0
128,Vaini,TO,-21.2,-175.2,77.0,69,20,11.41,few clouds,0.0,0
129,Portland,US,45.52,-122.68,82.0,41,20,4.7,few clouds,0.0,0
130,Kashin,RU,57.36,37.61,55.87,75,44,11.1,scattered clouds,0.0,0
131,Ambunti,PG,-4.24,142.84,78.84,86,100,2.84,overcast clouds,0.0,0
132,Lerici,IT,44.08,9.91,72.0,74,100,2.64,overcast clouds,0.0,0
133,Chokurdakh,RU,70.63,147.92,63.05,46,0,9.19,clear sky,0.0,0
134,Saskylakh,RU,71.92,114.08,64.6,53,100,21.79,overcast clouds,0.0,0
135,San Cristobal,VE,7.77,-72.22,86.0,42,75,11.41,broken clouds,0.0,0
136,Klaksvik,FO,62.23,-6.59,41.0,86,99,12.37,overcast clouds,0.0,0
137,Yellowknife,CA,62.46,-114.35,73.0,56,75,9.17,broken clouds,0.0,0
138,Yala,TH,6.33,101.25,77.0,100,40,2.24,scattered clouds,0.0,0
139,Lawton,US,34.61,-98.39,91.4,66,1,14.99,clear sky,0.0,0
140,Aykhal,RU,66.0,111.5,60.8,82,40,4.47,scattered clouds,0.0,0
141,San Quintin,MX,30.48,-115.95,74.75,58,0,11.54,clear sky,0.0,0
142,Valreas,FR,44.38,4.99,72.0,78,87,17.22,overcast clouds,0.0,0
143,Sorland,NO,67.67,12.69,52.21,84,7,15.28,clear sky,0.0,0
144,Thompson,CA,55.74,-97.86,69.8,52,40,6.93,scattered clouds,0.0,0
145,Medak,IN,18.03,78.27,73.99,71,77,4.0,light rain,0.13,0
146,Fomboni,KM,-12.28,43.74,78.13,63,0,8.81,clear sky,0.0,0
147,Geraldton,AU,-28.77,114.6,51.8,53,0,13.87,clear sky,0.0,0
148,Yatou,CN,37.15,122.38,77.05,64,100,4.09,overcast clouds,0.0,0
149,Hoquiam,US,46.98,-123.89,68.0,59,75,11.41,broken clouds,0.0,0
150,Santa Maria,BR,-29.68,-53.81,58.21,76,100,5.66,overcast clouds,0.0,0
151,Waldkirchen,DE,48.73,13.6,64.0,82,100,0.72,light rain,0.51,0
152,Avarua,CK,-21.21,-159.78,77.0,78,2,9.17,clear sky,0.0,0
153,Whitehorse,CA,60.72,-135.05,60.8,51,90,11.41,overcast clouds,0.0,0
154,Takoradi,GH,4.88,-1.76,74.61,88,88,11.74,overcast clouds,0.0,0
155,Kavaratti,IN,10.57,72.64,82.8,74,100,9.22,light rain,0.49,0
156,Nyanza,RW,-2.35,29.75,68.0,68,97,1.99,overcast clouds,0.0,0
157,Tandalti,SD,13.02,31.87,83.1,56,100,8.52,overcast clouds,0.0,0
158,Maragogi,BR,-9.01,-35.22,74.37,85,30,9.75,scattered clouds,0.0,0
159,Chuy,UY,-33.7,-53.46,52.39,88,100,7.18,overcast clouds,0.0,0
160,Morgan City,US,29.7,-91.21,89.01,79,1,8.05,clear sky,0.0,0
161,Alofi,NU,-19.06,-169.92,77.0,73,85,18.34,overcast clouds,0.0,0
162,Ravar,IR,31.27,56.81,73.6,23,0,1.97,clear sky,0.0,0
163,Makokou,GA,0.57,12.86,69.69,96,100,4.38,light rain,0.47,0
164,Ostrovnoy,RU,68.05,39.51,53.53,73,0,14.32,clear sky,0.0,0
165,Souillac,MU,-20.52,57.52,69.8,68,75,16.11,broken clouds,0.0,0
166,Vila,PT,42.03,-8.16,62.6,72,3,10.29,clear sky,0.0,0
167,Makakilo City,US,21.35,-158.09,87.8,45,75,11.41,broken clouds,0.0,0
168,Port-Gentil,GA,-0.72,8.78,77.0,83,40,14.94,scattered clouds,0.0,0
169,Glencoe,ZA,-28.18,30.15,55.49,54,0,7.27,clear sky,0.0,0
170,Talara,PE,-4.58,-81.27,62.71,86,99,14.07,overcast clouds,0.0,0
171,Grand Baie,MU,-20.02,57.58,66.99,80,86,10.0,light rain,0.51,0
172,Kaitangata,NZ,-46.28,169.85,52.0,59,83,8.01,broken clouds,0.0,0
173,Imbituba,BR,-28.24,-48.67,62.6,82,0,11.41,clear sky,0.0,0
174,Fort Nelson,CA,58.81,-122.7,75.2,36,75,3.36,broken clouds,0.0,0
175,Isangel,VU,-19.55,169.27,78.8,69,75,9.17,broken clouds,0.0,0
176,East London,ZA,-33.02,27.91,63.77,52,0,16.75,clear sky,0.0,0
177,Mehran,IR,33.12,46.16,73.4,27,0,6.93,clear sky,0.0,0
178,Namatanai,PG,-3.67,152.43,84.87,70,29,9.78,scattered clouds,0.0,0
179,Antalya,TR,36.77,30.72,80.6,54,0,9.17,clear sky,0.0,0
180,Road Town,VG,18.42,-64.62,86.0,66,40,10.29,scattered clouds,0.0,0
181,Harper,LR,4.38,-7.72,75.54,80,95,9.4,overcast clouds,0.0,0
182,Danilov,RU,58.19,40.17,50.0,93,15,5.73,few clouds,0.0,0
183,Samarai,PG,-10.62,150.67,78.26,87,99,19.46,moderate rain,1.97,0
184,Kholtoson,RU,50.3,103.31,68.09,51,100,1.68,overcast clouds,0.0,0
185,Ponta Do Sol,PT,32.67,-17.1,69.01,77,1,6.49,clear sky,0.0,0
186,Grudziadz,PL,53.48,18.75,55.99,78,100,1.01,overcast clouds,0.0,0
187,Cabo San Lucas,MX,22.89,-109.91,88.0,62,20,11.41,few clouds,0.0,0
188,Coihaique,CL,-45.58,-72.07,33.8,93,90,5.82,sleet,0.0,0
189,Aksu,CN,41.12,80.26,72.86,45,100,9.84,overcast clouds,0.0,0
190,Sabang,ID,5.89,95.32,82.87,73,100,6.55,light rain,0.78,0
191,Mandalgovi,MN,45.76,106.27,62.01,59,0,9.62,clear sky,0.0,0
192,Kruisfontein,ZA,-34.0,24.73,52.3,61,100,12.62,overcast clouds,0.0,0
193,Mildura,AU,-34.2,142.15,50.0,100,90,4.7,overcast clouds,0.0,0
194,Xuzhou,CN,34.18,117.16,80.1,68,100,12.03,overcast clouds,0.0,0
195,Alekseyevskoye,RU,55.31,50.11,59.0,87,0,8.95,clear sky,0.0,0
196,Bilibino,RU,68.05,166.44,70.86,47,100,1.7,light rain,0.19,0
197,Bahawalnagar,PK,30.55,73.39,94.3,50,0,14.52,clear sky,0.0,0
198,Dabakala,CI,8.37,-4.43,71.49,95,42,6.33,scattered clouds,0.0,0
199,Bethel,US,41.37,-73.41,73.4,94,90,12.75,light rain,0.64,0
200,Sorong,ID,-0.88,131.25,82.09,77,100,3.27,light rain,0.13,0
201,Nome,US,64.5,-165.41,72.0,63,75,19.46,broken clouds,0.0,0
202,Yar-Sale,RU,66.83,70.83,60.03,63,89,5.32,overcast clouds,0.0,0
203,Samandag,TR,36.08,35.98,78.8,78,14,14.99,few clouds,0.0,0
204,Bathsheba,BB,13.22,-59.52,82.4,74,75,21.92,broken clouds,0.0,0
205,Voh,NC,-20.97,164.7,75.58,49,7,6.4,clear sky,0.0,0
206,Sabha,LY,27.04,14.43,81.32,23,0,12.15,clear sky,0.0,0
207,Cape Coast,GH,5.11,-1.25,74.88,88,100,12.77,overcast clouds,0.0,0
208,Helong,CN,42.54,129.0,71.89,62,100,3.06,overcast clouds,0.0,0
209,Rupert,US,42.62,-113.68,82.4,26,1,9.13,clear sky,0.0,0
210,Aripuana,BR,-9.17,-60.63,75.34,49,0,0.69,clear sky,0.0,0
211,Vanimo,PG,-2.67,141.3,80.28,82,100,5.14,light rain,0.41,0
212,Vestmanna,FO,62.16,-7.17,41.0,86,94,8.86,overcast clouds,0.0,0
213,Gashua,NG,12.87,11.05,82.29,58,79,13.78,broken clouds,0.0,0
214,Husavik,IS,66.04,-17.34,48.2,76,62,6.93,broken clouds,0.0,0
215,Lodwar,KE,3.12,35.6,80.94,45,99,14.81,overcast clouds,0.0,0
216,Cairns,AU,-16.92,145.77,77.0,69,100,12.75,overcast clouds,0.0,0
217,Menongue,AO,-14.66,17.69,50.65,44,0,2.08,clear sky,0.0,0
218,Erenhot,CN,43.65,111.98,78.1,27,0,7.56,clear sky,0.0,0
219,Itum-Kale,RU,42.74,45.58,64.18,73,100,1.07,overcast clouds,0.0,0
220,Torbay,CA,47.67,-52.73,53.01,81,90,5.82,overcast clouds,0.0,0
221,Katobu,ID,-4.94,122.53,79.18,85,100,6.42,light rain,0.54,0
222,Poronaysk,RU,49.22,143.12,61.63,79,43,4.88,scattered clouds,0.0,0
223,Sheridan,US,44.83,-106.92,82.4,30,1,19.46,clear sky,0.0,0
224,Dawei,MM,14.08,98.2,80.83,82,100,0.76,overcast clouds,0.0,0
225,Kirakira,SB,-10.45,161.92,78.91,84,100,11.21,light rain,0.58,0
226,Nehoiu,RO,45.42,26.3,55.0,84,0,17.0,clear sky,0.0,0
227,Bulungu,CD,-4.55,18.6,73.53,63,0,2.71,clear sky,0.0,0
228,Kangaatsiaq,GL,68.31,-53.46,40.87,87,13,3.69,few clouds,0.0,0
229,Longyearbyen,SJ,78.22,15.64,44.6,81,90,19.46,light rain,0.0,0
230,Krasnopavlivka,UA,49.14,36.33,58.05,73,0,4.76,clear sky,0.0,0
231,Tiksi,RU,71.69,128.87,43.92,83,59,6.8,broken clouds,0.0,0
232,Lorengau,PG,-2.02,147.27,85.1,74,87,13.04,light rain,0.3,0
233,Tacuarembo,UY,-31.73,-55.98,54.14,89,100,5.14,light rain,0.66,0
234,Padang,ID,-0.95,100.35,80.1,77,54,3.69,light rain,0.39,0
235,Palmer,US,42.16,-72.33,77.0,78,90,10.29,overcast clouds,0.0,0
236,Sainte-Agathe-Des-Monts,CA,46.05,-74.28,86.0,55,75,8.05,broken clouds,0.0,0
237,Viedma,AR,-40.81,-63.0,40.28,67,0,10.04,clear sky,0.0,0
238,Mutis,CO,6.23,-77.4,76.75,86,100,6.31,moderate rain,1.54,0
239,Panalingaan,PH,8.78,117.42,80.01,82,100,3.53,light rain,0.49,0
240,Gondanglegi,ID,-7.75,112.01,78.08,76,100,12.57,overcast clouds,0.0,0
241,La Libertad,EC,-2.23,-80.9,68.38,86,100,10.63,overcast clouds,0.0,0
242,Comodoro Rivadavia,AR,-45.87,-67.5,41.0,52,0,18.34,clear sky,0.0,0
243,Los Llanos De Aridane,ES,28.66,-17.92,71.6,73,40,19.46,scattered clouds,0.0,0
244,Pravia,ES,43.49,-6.15,62.6,88,90,8.05,overcast clouds,0.0,0
245,Zhangjiakou,CN,40.81,114.88,69.93,74,86,5.61,overcast clouds,0.0,0
246,Zhangye,CN,38.93,100.45,77.67,21,100,5.7,overcast clouds,0.0,0
247,Papara,BR,-3.98,-38.73,80.01,83,20,8.05,few clouds,0.0,0
248,Sumbe,AO,-11.21,13.84,69.21,83,2,5.84,clear sky,0.0,0
249,Ondjiva,AO,-17.07,15.73,45.5,52,0,2.04,clear sky,0.0,0
250,Sergeyevka,KZ,53.88,67.42,66.79,80,53,4.36,broken clouds,0.0,0
251,Flin Flon,CA,54.77,-101.86,73.4,49,75,8.05,broken clouds,0.0,0
252,Pangnirtung,CA,66.15,-65.71,51.15,49,99,1.63,overcast clouds,0.0,0
253,Maniitsoq,GL,65.42,-52.9,41.99,84,0,5.55,clear sky,0.0,0
254,Mercedes,AR,-34.65,-59.43,48.99,82,96,1.99,overcast clouds,0.0,0
255,Baghdad,IQ,33.34,44.4,93.2,20,0,14.99,clear sky,0.0,0
256,Sokoto,NG,13.06,5.24,70.86,87,100,8.79,very heavy rain,16.41,0
257,Fukuma,JP,33.77,130.47,80.6,78,75,2.24,broken clouds,0.0,0
258,Caluquembe,AO,-13.78,14.68,51.44,53,0,0.98,clear sky,0.0,0
259,Lebu,CL,-37.62,-73.65,46.9,76,53,4.63,broken clouds,0.0,0
260,Olafsvik,IS,64.89,-23.71,50.49,89,100,10.31,light rain,0.25,0
261,Terrace Bay,CA,48.78,-87.1,63.86,70,94,7.85,overcast clouds,0.0,0
262,Kargasok,RU,59.06,80.86,62.62,81,0,7.81,clear sky,0.0,0
263,Miandrivazo,MG,-19.52,45.47,67.28,54,0,2.17,clear sky,0.0,0
264,Mecatlan,MX,20.22,-97.67,84.2,79,75,6.93,broken clouds,0.0,0
265,Bac Lieu,VN,9.29,105.72,82.65,79,74,5.41,broken clouds,0.0,0
266,Bend,US,44.06,-121.32,82.99,22,0,1.99,clear sky,0.0,0
267,Marawi,PH,8.0,124.29,82.0,76,98,4.0,light rain,1.0,0
268,Constitucion,CL,-35.33,-72.42,49.71,79,41,6.69,scattered clouds,0.0,0
269,Ngama,TD,11.78,17.17,78.08,65,91,15.86,overcast clouds,0.0,0
270,Concordia,AR,-31.39,-58.02,55.0,84,100,1.99,overcast clouds,0.0,0
271,Along,IN,28.17,94.77,74.82,90,100,2.91,moderate rain,2.75,0
272,Lakeside,US,30.13,-81.77,88.0,79,75,11.41,moderate rain,2.11,0
273,La Ronge,CA,55.1,-105.28,60.8,93,90,3.36,light intensity shower rain,0.0,0
274,Bambanglipuro,ID,-7.95,110.28,79.03,78,100,8.72,overcast clouds,0.0,0
275,Sambava,MG,-14.27,50.17,70.5,82,69,12.21,light rain,0.39,0
276,Pacific Grove,US,36.62,-121.92,62.6,72,1,5.82,clear sky,0.0,0
277,North Battleford,CA,52.78,-108.28,70.0,60,75,14.99,broken clouds,0.0,0
278,Castro,BR,-24.79,-50.01,51.8,87,19,3.87,few clouds,0.0,0
279,Korla,CN,41.76,86.15,77.0,76,0,4.0,clear sky,0.0,0
280,Abha,SA,18.22,42.51,75.2,40,0,9.82,clear sky,0.0,0
281,Sembe,CG,1.65,14.58,70.95,92,100,1.45,moderate rain,1.31,0
282,Moses Lake,US,47.13,-119.28,84.2,25,1,6.93,clear sky,0.0,0
283,San Patricio,MX,19.22,-104.7,87.8,74,40,17.22,scattered clouds,0.0,0
284,Sao Joao Da Barra,BR,-21.64,-41.05,68.47,74,14,6.64,few clouds,0.0,0
285,Navahrudak,BY,53.6,25.83,64.18,98,100,12.1,light rain,0.11,0
286,Norman Wells,CA,65.28,-126.83,51.8,81,90,14.99,overcast clouds,0.0,0
287,Khuzdar,PK,27.74,66.64,74.77,79,0,4.94,clear sky,0.0,0
